Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.29000,31.64000,31.62000,31.56600,31.49300,31.42700,31.35700,31.29300,31.22300,Selling,31.96000,31.74000,31.72400,31.67500,31.60900,31.54900,31.48600,31.42900,31.36600,
HKD,Buying,3.88400,4.01000,4.00800,4.00400,3.99900,3.99600,3.99000,3.98500,3.98000,Selling,4.08800,4.07000,4.06900,4.06800,4.06500,4.06100,4.05700,4.05300,4.05000,
GBP,Buying,41.00000,42.01000,41.97500,41.90400,41.81900,41.73800,41.65400,41.57000,41.48600,Selling,43.12000,42.41000,42.39300,42.35800,42.27900,42.20200,42.12900,42.05500,41.98200,
AUD,Buying,22.11000,22.40000,22.37700,22.33000,22.27100,22.21500,22.15900,22.10300,22.04900,Selling,22.89000,22.60000,22.58800,22.56500,22.51000,22.45600,22.40500,22.35600,22.30700,
CAD,Buying,22.01000,22.41000,22.40100,22.38400,22.37000,22.35800,22.34500,22.33200,22.31900,Selling,22.92000,22.61000,22.61100,22.61300,22.60300,22.59300,22.58600,22.58000,22.57300,
SGD,Buying,24.27000,24.76000,24.75400,24.74300,24.74300,24.74800,24.75100,24.75400,24.75700,Selling,25.18000,24.94000,24.94800,24.96400,24.96900,24.97500,24.98400,24.99300,25.00300,
CHF,Buying,37.76000,38.44000,38.45000,38.47000,38.52300,38.58200,38.64000,38.69900,38.75900,Selling,38.96000,38.69000,38.71800,38.77400,38.83600,38.89700,38.96700,39.03800,39.11000,
JPY,Buying,0.19190,0.19920,0.19920,0.19920,0.19930,0.19940,0.19950,0.19950,0.19950,Selling,0.20470,0.20320,0.20330,0.20340,0.20350,0.20360,0.20380,0.20390,0.20400,
ZAR,Buying,0.00000,1.91700,1.91400,1.90800,1.89900,1.89100,1.88300,1.87500,1.86700,Selling,0.00000,1.99700,1.99500,1.99100,1.98300,1.97500,1.96700,1.96000,1.95200,
SEK,Buying,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.60000,17.98000,17.96800,17.94300,17.91900,17.89700,17.87400,17.85000,17.82600,Selling,18.45000,18.18000,18.17900,18.17600,18.15600,18.13600,18.11700,18.09700,18.07800,
THB,Buying,0.82610,0.93950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01610,0.97950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.40000,36.02000,36.00500,35.97600,35.93600,35.91400,35.87800,35.84200,35.78400,Selling,36.74000,36.42000,36.41300,36.40000,36.36400,36.35200,36.33000,36.30900,36.28700,
KRW,Buying,0.02172,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02562,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.75100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.27600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.62800,4.70000,4.69990,4.69960,4.70160,4.70300,4.70490,4.70740,4.70890,Selling,4.79000,4.75000,4.75060,4.75190,4.75330,4.75460,4.75730,4.76010,4.76290,
