Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.43500,31.78500,31.76500,31.71100,31.63800,31.57200,31.50200,31.43800,31.36800,Selling,32.10500,31.88500,31.86900,31.82000,31.75400,31.69400,31.63100,31.57400,31.51100,
HKD,Buying,3.90300,4.02900,4.02700,4.02300,4.01800,4.01500,4.00900,4.00400,3.99900,Selling,4.10700,4.08900,4.08800,4.08700,4.08400,4.08000,4.07600,4.07200,4.06900,
GBP,Buying,40.94000,41.95000,41.91500,41.84400,41.75900,41.67800,41.59400,41.51000,41.42600,Selling,43.06000,42.35000,42.33300,42.29800,42.21900,42.14200,42.06900,41.99500,41.92200,
AUD,Buying,21.98000,22.27000,22.24700,22.20000,22.14100,22.08500,22.02900,21.97300,21.91900,Selling,22.76000,22.47000,22.45800,22.43500,22.38000,22.32600,22.27500,22.22600,22.17700,
CAD,Buying,22.07000,22.47000,22.46100,22.44400,22.43000,22.41800,22.40500,22.39200,22.37900,Selling,22.98000,22.67000,22.67100,22.67300,22.66300,22.65300,22.64600,22.64000,22.63300,
SGD,Buying,24.29000,24.78000,24.77400,24.76300,24.76300,24.76800,24.77100,24.77400,24.77700,Selling,25.20000,24.96000,24.96800,24.98400,24.98900,24.99500,25.00400,25.01300,25.02300,
CHF,Buying,37.80000,38.48000,38.49000,38.51000,38.56300,38.62200,38.68000,38.73900,38.79900,Selling,39.00000,38.73000,38.75800,38.81400,38.87600,38.93700,39.00700,39.07800,39.15000,
JPY,Buying,0.19220,0.19950,0.19950,0.19950,0.19960,0.19970,0.19980,0.19980,0.19980,Selling,0.20500,0.20350,0.20360,0.20370,0.20380,0.20390,0.20410,0.20420,0.20430,
ZAR,Buying,0.00000,1.90300,1.90000,1.89400,1.88500,1.87700,1.86900,1.86100,1.85300,Selling,0.00000,1.98300,1.98100,1.97700,1.96900,1.96100,1.95300,1.94600,1.93800,
SEK,Buying,0.00000,3.16000,3.15900,3.15700,3.15600,3.15500,3.15400,3.15300,3.15200,Selling,0.00000,3.26000,3.26100,3.26200,3.26100,3.26100,3.26000,3.26000,3.26000,
NZD,Buying,17.59000,17.97000,17.95800,17.93300,17.90900,17.88700,17.86400,17.84000,17.81600,Selling,18.44000,18.17000,18.16900,18.16600,18.14600,18.12600,18.10700,18.08700,18.06800,
THB,Buying,0.82410,0.93750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01410,0.97750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.40000,36.02000,36.00500,35.97600,35.93600,35.91400,35.87800,35.84200,35.78400,Selling,36.74000,36.42000,36.41300,36.40000,36.36400,36.35200,36.33000,36.30900,36.28700,
KRW,Buying,0.02149,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02539,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.77100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.29600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.64300,4.71500,4.71490,4.71460,4.71660,4.71800,4.71990,4.72240,4.72390,Selling,4.80500,4.76500,4.76560,4.76690,4.76830,4.76960,4.77230,4.77510,4.77790,
