Date,Currency,Cash,Cash.1,Spot,Spot.1
2026-06-08 23:41:00,USD,31.1800,31.8500,31.5050,31.6550
2026-06-08 23:41:00,HKD,3.8750,4.0790,3.9960,4.0660
2026-06-08 23:41:00,GBP,40.9400,43.0600,41.8350,42.4650
2026-06-08 23:41:00,AUD,21.9000,22.6800,22.1150,22.4600
2026-06-08 23:41:00,CAD,22.1500,23.0600,22.4800,22.8100
2026-06-08 23:41:00,SGD,23.9400,24.8500,24.4100,24.6300
2026-06-08 23:41:00,CHF,38.8200,40.0200,39.4300,39.8200
2026-06-08 23:41:00,JPY,0.1881,0.2009,0.1949,0.1999
2026-06-08 23:41:00,ZAR,,,1.8700,1.9600
2026-06-08 23:41:00,SEK,,,3.3000,3.4200
2026-06-08 23:41:00,NZD,17.8900,18.7400,18.2200,18.5200
2026-06-08 23:41:00,THB,0.8342,1.0242,0.9446,0.9906
2026-06-08 23:41:00,PHP,0.4462,0.5782,,
2026-06-08 23:41:00,IDR,0.0014,0.0021,,
2026-06-08 23:41:00,EUR,35.6400,36.9800,36.1550,36.7550
2026-06-08 23:41:00,KRW,0.0189,0.0228,,
2026-06-08 23:41:00,VND,0.0009,0.0014,,
2026-06-08 23:41:00,MYR,6.7280,8.2530,,
2026-06-08 23:41:00,CNY,4.5610,4.7230,4.6280,4.6880
