Date,Currency,Cash,Cash.1,Spot,Spot.1
2026-03-16 18:41:00,USD,31.5850,32.2550,31.9100,32.0600
2026-03-16 18:41:00,HKD,3.9290,4.1330,4.0500,4.1200
2026-03-16 18:41:00,GBP,41.2400,43.3600,42.1350,42.7650
2026-03-16 18:41:00,AUD,22.1400,22.9200,22.3550,22.7000
2026-03-16 18:41:00,CAD,22.8700,23.7800,23.2000,23.5300
2026-03-16 18:41:00,SGD,24.4200,25.3300,24.8900,25.1100
2026-03-16 18:41:00,CHF,39.7600,40.9600,40.3700,40.7600
2026-03-16 18:41:00,JPY,0.1917,0.2045,0.1985,0.2035
2026-03-16 18:41:00,ZAR,,,1.8570,1.9470
2026-03-16 18:41:00,SEK,,,3.3500,3.4700
2026-03-16 18:41:00,NZD,18.1800,19.0300,18.5100,18.8100
2026-03-16 18:41:00,THB,0.8562,1.0462,0.9666,1.0126
2026-03-16 18:41:00,PHP,0.4692,0.6012,,
2026-03-16 18:41:00,IDR,0.0015,0.0022,,
2026-03-16 18:41:00,EUR,35.8800,37.2200,36.3950,36.9950
2026-03-16 18:41:00,KRW,0.0197,0.0236,,
2026-03-16 18:41:00,VND,0.0010,0.0014,,
2026-03-16 18:41:00,MYR,7.1150,8.6400,,
2026-03-16 18:41:00,CNY,4.5440,4.7060,4.6110,4.6710
