Date,Currency,Cash,Cash.1,Spot,Spot.1
2026-03-19 13:36:00,USD,31.5300,32.2000,31.8800,31.9800
2026-03-19 13:36:00,HKD,3.9170,4.1210,4.0430,4.1030
2026-03-19 13:36:00,GBP,41.1900,43.3100,42.2000,42.6000
2026-03-19 13:36:00,AUD,22.0800,22.8600,22.3700,22.5700
2026-03-19 13:36:00,CAD,22.7700,23.6800,23.1700,23.3700
2026-03-19 13:36:00,SGD,24.3200,25.2300,24.8100,24.9900
2026-03-19 13:36:00,CHF,39.4800,40.6800,40.1600,40.4100
2026-03-19 13:36:00,JPY,0.1908,0.2036,0.1981,0.2021
2026-03-19 13:36:00,ZAR,,,1.8400,1.9200
2026-03-19 13:36:00,SEK,,,3.3500,3.4500
2026-03-19 13:36:00,NZD,18.1000,18.9500,18.4800,18.6800
2026-03-19 13:36:00,THB,0.8455,1.0355,0.9589,0.9989
2026-03-19 13:36:00,PHP,0.4656,0.5976,,
2026-03-19 13:36:00,IDR,0.0015,0.0022,,
2026-03-19 13:36:00,EUR,35.8100,37.1500,36.4300,36.8300
2026-03-19 13:36:00,KRW,0.0196,0.0235,,
2026-03-19 13:36:00,VND,0.0010,0.0014,,
2026-03-19 13:36:00,MYR,7.0830,8.6080,,
2026-03-19 13:36:00,CNY,4.5290,4.6910,4.6010,4.6510
