Date,Currency,Cash,Cash.1,Spot,Spot.1
2026-03-04 15:48:00,USD,31.3000,31.9700,31.6500,31.7500
2026-03-04 15:48:00,HKD,3.8990,4.1030,4.0250,4.0850
2026-03-04 15:48:00,GBP,41.1800,43.3000,42.1900,42.5900
2026-03-04 15:48:00,AUD,21.9200,22.7000,22.2100,22.4100
2026-03-04 15:48:00,CAD,22.7300,23.6400,23.1300,23.3300
2026-03-04 15:48:00,SGD,24.2600,25.1700,24.7500,24.9300
2026-03-04 15:48:00,CHF,39.8500,41.0500,40.5300,40.7800
2026-03-04 15:48:00,JPY,0.1922,0.2050,0.1995,0.2035
2026-03-04 15:48:00,ZAR,,,1.8840,1.9640
2026-03-04 15:48:00,SEK,,,3.3800,3.4800
2026-03-04 15:48:00,NZD,18.2500,19.1000,18.6300,18.8300
2026-03-04 15:48:00,THB,0.8773,1.0673,0.9907,1.0307
2026-03-04 15:48:00,PHP,0.4751,0.6071,,
2026-03-04 15:48:00,IDR,0.0015,0.0022,,
2026-03-04 15:48:00,EUR,36.0300,37.3700,36.6500,37.0500
2026-03-04 15:48:00,KRW,0.0198,0.0237,,
2026-03-04 15:48:00,VND,0.0010,0.0014,,
2026-03-04 15:48:00,MYR,7.0170,8.5420,,
2026-03-04 15:48:00,CNY,4.4880,4.6500,4.5600,4.6100
