Date,Currency,Cash,Cash.1,Spot,Spot.1
2026-05-25 11:56:00,USD,31.0150,31.6850,31.3650,31.4650
2026-05-25 11:56:00,HKD,3.8530,4.0570,3.9790,4.0390
2026-05-25 11:56:00,GBP,41.1400,43.2600,42.1500,42.5500
2026-05-25 11:56:00,AUD,22.1000,22.8800,22.3900,22.5900
2026-05-25 11:56:00,CAD,22.2500,23.1600,22.6500,22.8500
2026-05-25 11:56:00,SGD,24.0200,24.9300,24.5100,24.6900
2026-05-25 11:56:00,CHF,39.3400,40.5400,40.0200,40.2700
2026-05-25 11:56:00,JPY,0.1885,0.2013,0.1958,0.1998
2026-05-25 11:56:00,ZAR,,,1.8830,1.9630
2026-05-25 11:56:00,SEK,,,3.3300,3.4300
2026-05-25 11:56:00,NZD,17.9600,18.8100,18.3400,18.5400
2026-05-25 11:56:00,THB,0.8395,1.0295,0.9529,0.9929
2026-05-25 11:56:00,PHP,0.4454,0.5774,,
2026-05-25 11:56:00,IDR,0.0014,0.0021,,
2026-05-25 11:56:00,EUR,35.7400,37.0800,36.3600,36.7600
2026-05-25 11:56:00,KRW,0.0191,0.0230,,
2026-05-25 11:56:00,VND,0.0010,0.0014,,
2026-05-25 11:56:00,MYR,6.9170,8.4420,,
2026-05-25 11:56:00,CNY,4.5340,4.6960,4.6060,4.6560
