Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.30000,31.65000,31.63400,31.58600,31.52300,31.46200,31.40100,31.33800,31.27700,Selling,31.97000,31.75000,31.73800,31.69400,31.63800,31.58500,31.53200,31.47600,31.42400,
HKD,Buying,3.88500,4.01100,4.00900,4.00500,4.00000,3.99700,3.99100,3.98600,3.98100,Selling,4.08900,4.07100,4.07000,4.06900,4.06600,4.06200,4.05800,4.05400,4.05100,
GBP,Buying,41.17000,42.18000,42.14500,42.07400,41.98900,41.90800,41.82400,41.74000,41.65600,Selling,43.29000,42.58000,42.56300,42.52800,42.44900,42.37200,42.29900,42.22500,42.15200,
AUD,Buying,22.13000,22.42000,22.39700,22.35000,22.29100,22.23500,22.17900,22.12300,22.06900,Selling,22.91000,22.62000,22.60800,22.58500,22.53000,22.47600,22.42500,22.37600,22.32700,
CAD,Buying,22.09000,22.49000,22.48100,22.46400,22.45000,22.43800,22.42500,22.41200,22.39900,Selling,23.00000,22.69000,22.69100,22.69300,22.68300,22.67300,22.66600,22.66000,22.65300,
SGD,Buying,24.26000,24.75000,24.74400,24.73300,24.73300,24.73800,24.74100,24.74400,24.74700,Selling,25.17000,24.93000,24.93800,24.95400,24.95900,24.96500,24.97400,24.98300,24.99300,
CHF,Buying,37.80000,38.48000,38.49000,38.51000,38.56300,38.62200,38.68000,38.73900,38.79900,Selling,39.00000,38.73000,38.75800,38.81400,38.87600,38.93700,39.00700,39.07800,39.15000,
JPY,Buying,0.19180,0.19910,0.19910,0.19910,0.19920,0.19930,0.19940,0.19940,0.19940,Selling,0.20460,0.20310,0.20320,0.20330,0.20340,0.20350,0.20370,0.20380,0.20390,
ZAR,Buying,0.00000,1.90600,1.90300,1.89700,1.88800,1.88000,1.87200,1.86400,1.85600,Selling,0.00000,1.98600,1.98400,1.98000,1.97200,1.96400,1.95600,1.94900,1.94100,
SEK,Buying,0.00000,3.18000,3.17900,3.17700,3.17600,3.17500,3.17400,3.17300,3.17200,Selling,0.00000,3.28000,3.28100,3.28200,3.28100,3.28100,3.28000,3.28000,3.28000,
NZD,Buying,17.70000,18.08000,18.06800,18.04300,18.01900,17.99700,17.97400,17.95000,17.92600,Selling,18.55000,18.28000,18.27900,18.27600,18.25600,18.23600,18.21700,18.19700,18.17800,
THB,Buying,0.82420,0.93760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01420,0.97760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.43960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57160,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.50000,36.12000,36.10400,36.07200,36.04100,36.01500,35.97900,35.94400,35.88700,Selling,36.84000,36.52000,36.51400,36.50100,36.47500,36.45600,36.43500,36.41400,36.39200,
KRW,Buying,0.02154,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02544,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.74800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.27300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.63400,4.70600,4.70580,4.70530,4.70770,4.70940,4.71100,4.71310,4.71430,Selling,4.79600,4.75600,4.75690,4.75860,4.75950,4.76180,4.76440,4.76690,4.76950,
