Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.32000,31.67000,31.65200,31.60100,31.53100,31.46300,31.38800,31.32200,31.25900,Selling,31.99000,31.77000,31.75600,31.70900,31.64600,31.58500,31.51700,31.45800,31.40100,
HKD,Buying,3.88700,4.01300,4.01100,4.00700,4.00200,3.99900,3.99300,3.98800,3.98300,Selling,4.09100,4.07300,4.07200,4.07100,4.06800,4.06400,4.06000,4.05600,4.05300,
GBP,Buying,41.26000,42.27000,42.23500,42.16400,42.07900,41.99800,41.91400,41.83000,41.74600,Selling,43.38000,42.67000,42.65300,42.61800,42.53900,42.46200,42.38900,42.31500,42.24200,
AUD,Buying,22.19000,22.48000,22.45700,22.41000,22.35100,22.29500,22.23900,22.18300,22.12900,Selling,22.97000,22.68000,22.66800,22.64500,22.59000,22.53600,22.48500,22.43600,22.38700,
CAD,Buying,22.12000,22.52000,22.51100,22.49400,22.48000,22.46800,22.45500,22.44200,22.42900,Selling,23.03000,22.72000,22.72100,22.72300,22.71300,22.70300,22.69600,22.69000,22.68300,
SGD,Buying,24.30000,24.79000,24.78400,24.77300,24.77300,24.77800,24.78100,24.78400,24.78700,Selling,25.21000,24.97000,24.97800,24.99400,24.99900,25.00500,25.01400,25.02300,25.03300,
CHF,Buying,37.85000,38.53000,38.54000,38.56000,38.61300,38.67200,38.73000,38.78900,38.84900,Selling,39.05000,38.78000,38.80800,38.86400,38.92600,38.98700,39.05700,39.12800,39.20000,
JPY,Buying,0.19220,0.19950,0.19950,0.19950,0.19960,0.19970,0.19980,0.19980,0.19980,Selling,0.20500,0.20350,0.20360,0.20370,0.20380,0.20390,0.20410,0.20420,0.20430,
ZAR,Buying,0.00000,1.91100,1.90800,1.90200,1.89300,1.88500,1.87700,1.86900,1.86100,Selling,0.00000,1.99100,1.98900,1.98500,1.97700,1.96900,1.96100,1.95400,1.94600,
SEK,Buying,0.00000,3.18000,3.17900,3.17700,3.17600,3.17500,3.17400,3.17300,3.17200,Selling,0.00000,3.28000,3.28100,3.28200,3.28100,3.28100,3.28000,3.28000,3.28000,
NZD,Buying,17.72000,18.10000,18.08800,18.06300,18.03900,18.01700,17.99400,17.97000,17.94600,Selling,18.57000,18.30000,18.29900,18.29600,18.27600,18.25600,18.23700,18.21700,18.19800,
THB,Buying,0.82570,0.93910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01570,0.97910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.59000,36.21000,36.19600,36.16900,36.13700,36.10800,36.07200,36.03600,35.97900,Selling,36.93000,36.61000,36.60400,36.59200,36.56500,36.54600,36.52500,36.50400,36.48200,
KRW,Buying,0.02162,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02552,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.75800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.28300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.64000,4.71200,4.71180,4.71130,4.71330,4.71520,4.71680,4.71890,4.72000,Selling,4.80200,4.76200,4.76280,4.76430,4.76590,4.76720,4.76980,4.77250,4.77510,
