Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.44000,31.79000,31.77000,31.71600,31.64300,31.57700,31.50700,31.44300,31.37300,Selling,32.11000,31.89000,31.87400,31.82500,31.75900,31.69900,31.63600,31.57900,31.51600,
HKD,Buying,3.90400,4.03000,4.02800,4.02400,4.01900,4.01600,4.01000,4.00500,4.00000,Selling,4.10800,4.09000,4.08900,4.08800,4.08500,4.08100,4.07700,4.07300,4.07000,
GBP,Buying,40.97000,41.98000,41.94500,41.87400,41.78900,41.70800,41.62400,41.54000,41.45600,Selling,43.09000,42.38000,42.36300,42.32800,42.24900,42.17200,42.09900,42.02500,41.95200,
AUD,Buying,22.00000,22.29000,22.26700,22.22000,22.16100,22.10500,22.04900,21.99300,21.93900,Selling,22.78000,22.49000,22.47800,22.45500,22.40000,22.34600,22.29500,22.24600,22.19700,
CAD,Buying,22.08000,22.48000,22.47100,22.45400,22.44000,22.42800,22.41500,22.40200,22.38900,Selling,22.99000,22.68000,22.68100,22.68300,22.67300,22.66300,22.65600,22.65000,22.64300,
SGD,Buying,24.31000,24.80000,24.79400,24.78300,24.78300,24.78800,24.79100,24.79400,24.79700,Selling,25.22000,24.98000,24.98800,25.00400,25.00900,25.01500,25.02400,25.03300,25.04300,
CHF,Buying,37.81000,38.49000,38.50000,38.52000,38.57300,38.63200,38.69000,38.74900,38.80900,Selling,39.01000,38.74000,38.76800,38.82400,38.88600,38.94700,39.01700,39.08800,39.16000,
JPY,Buying,0.19230,0.19960,0.19960,0.19960,0.19970,0.19980,0.19990,0.19990,0.19990,Selling,0.20510,0.20360,0.20370,0.20380,0.20390,0.20400,0.20420,0.20430,0.20440,
ZAR,Buying,0.00000,1.90500,1.90200,1.89600,1.88700,1.87900,1.87100,1.86300,1.85500,Selling,0.00000,1.98500,1.98300,1.97900,1.97100,1.96300,1.95500,1.94800,1.94000,
SEK,Buying,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.59000,17.97000,17.95800,17.93300,17.90900,17.88700,17.86400,17.84000,17.81600,Selling,18.44000,18.17000,18.16900,18.16600,18.14600,18.12600,18.10700,18.08700,18.06800,
THB,Buying,0.82510,0.93850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01510,0.97850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.43000,36.05000,36.03500,36.00600,35.96600,35.94400,35.90800,35.87200,35.81400,Selling,36.77000,36.45000,36.44300,36.43000,36.39400,36.38200,36.36000,36.33900,36.31700,
KRW,Buying,0.02149,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02539,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.78100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.30600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.64300,4.71500,4.71490,4.71460,4.71660,4.71800,4.71990,4.72240,4.72390,Selling,4.80500,4.76500,4.76560,4.76690,4.76830,4.76960,4.77230,4.77510,4.77790,
