Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.29000,31.61500,31.63400,31.58600,31.52300,31.46200,31.40100,31.33800,31.27700,Selling,31.96000,31.76500,31.73800,31.69400,31.63800,31.58500,31.53200,31.47600,31.42400,
HKD,Buying,3.88500,4.00600,4.00900,4.00500,4.00000,3.99700,3.99100,3.98600,3.98100,Selling,4.08900,4.07600,4.07000,4.06900,4.06600,4.06200,4.05800,4.05400,4.05100,
GBP,Buying,41.18000,42.07500,42.11500,42.04400,41.95900,41.87800,41.79400,41.71000,41.62600,Selling,43.30000,42.70500,42.53300,42.49800,42.41900,42.34200,42.26900,42.19500,42.12200,
AUD,Buying,22.17000,22.38500,22.38700,22.34000,22.28100,22.22500,22.16900,22.11300,22.05900,Selling,22.95000,22.73000,22.59800,22.57500,22.52000,22.46600,22.41500,22.36600,22.31700,
CAD,Buying,22.03000,22.36000,22.47100,22.45400,22.44000,22.42800,22.41500,22.40200,22.38900,Selling,22.94000,22.69000,22.68100,22.68300,22.67300,22.66300,22.65600,22.65000,22.64300,
SGD,Buying,24.27000,24.74000,24.74400,24.73300,24.73300,24.73800,24.74100,24.74400,24.74700,Selling,25.18000,24.96000,24.93800,24.95400,24.95900,24.96500,24.97400,24.98300,24.99300,
CHF,Buying,37.83000,38.44000,38.45000,38.47000,38.52300,38.58200,38.64000,38.69900,38.75900,Selling,39.03000,38.83000,38.71800,38.77400,38.83600,38.89700,38.96700,39.03800,39.11000,
JPY,Buying,0.19210,0.19890,0.19900,0.19900,0.19910,0.19920,0.19930,0.19930,0.19930,Selling,0.20490,0.20390,0.20310,0.20320,0.20330,0.20340,0.20360,0.20370,0.20380,
ZAR,Buying,0.00000,1.90800,1.90100,1.89500,1.88600,1.87800,1.87000,1.86200,1.85400,Selling,0.00000,1.99800,1.98200,1.97800,1.97000,1.96200,1.95400,1.94700,1.93900,
SEK,Buying,0.00000,3.16000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.28000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.72000,18.05000,18.04800,18.02300,17.99900,17.97700,17.95400,17.93000,17.90600,Selling,18.57000,18.35000,18.25900,18.25600,18.23600,18.21600,18.19700,18.17700,18.15800,
THB,Buying,0.82810,0.93850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01810,0.98450,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00208,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.51000,36.02500,36.07400,36.04200,36.01100,35.98500,35.94900,35.91400,35.85700,Selling,36.85000,36.62500,36.48400,36.47100,36.44500,36.42600,36.40500,36.38400,36.36200,
KRW,Buying,0.02158,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02548,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.75300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.27800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.63600,4.70300,4.70580,4.70530,4.70770,4.70940,4.71100,4.71310,4.71430,Selling,4.79800,4.76300,4.75690,4.75860,4.75950,4.76180,4.76440,4.76690,4.76950,
