Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.44000,31.79000,31.77000,31.71600,31.64300,31.57700,31.50700,31.44300,31.37300,Selling,32.11000,31.89000,31.87400,31.82500,31.75900,31.69900,31.63600,31.57900,31.51600,
HKD,Buying,3.90400,4.03000,4.02800,4.02400,4.01900,4.01600,4.01000,4.00500,4.00000,Selling,4.10800,4.09000,4.08900,4.08800,4.08500,4.08100,4.07700,4.07300,4.07000,
GBP,Buying,40.94000,41.95000,41.91500,41.84400,41.75900,41.67800,41.59400,41.51000,41.42600,Selling,43.06000,42.35000,42.33300,42.29800,42.21900,42.14200,42.06900,41.99500,41.92200,
AUD,Buying,21.99000,22.28000,22.25700,22.21000,22.15100,22.09500,22.03900,21.98300,21.92900,Selling,22.77000,22.48000,22.46800,22.44500,22.39000,22.33600,22.28500,22.23600,22.18700,
CAD,Buying,22.08000,22.48000,22.47100,22.45400,22.44000,22.42800,22.41500,22.40200,22.38900,Selling,22.99000,22.68000,22.68100,22.68300,22.67300,22.66300,22.65600,22.65000,22.64300,
SGD,Buying,24.30000,24.79000,24.78400,24.77300,24.77300,24.77800,24.78100,24.78400,24.78700,Selling,25.21000,24.97000,24.97800,24.99400,24.99900,25.00500,25.01400,25.02300,25.03300,
CHF,Buying,37.79000,38.47000,38.48000,38.50000,38.55300,38.61200,38.67000,38.72900,38.78900,Selling,38.99000,38.72000,38.74800,38.80400,38.86600,38.92700,38.99700,39.06800,39.14000,
JPY,Buying,0.19200,0.19930,0.19930,0.19930,0.19940,0.19950,0.19960,0.19960,0.19960,Selling,0.20480,0.20330,0.20340,0.20350,0.20360,0.20370,0.20390,0.20400,0.20410,
ZAR,Buying,0.00000,1.90200,1.89900,1.89300,1.88400,1.87600,1.86800,1.86000,1.85200,Selling,0.00000,1.98200,1.98000,1.97600,1.96800,1.96000,1.95200,1.94500,1.93700,
SEK,Buying,0.00000,3.16000,3.15900,3.15700,3.15600,3.15500,3.15400,3.15300,3.15200,Selling,0.00000,3.26000,3.26100,3.26200,3.26100,3.26100,3.26000,3.26000,3.26000,
NZD,Buying,17.59000,17.97000,17.95800,17.93300,17.90900,17.88700,17.86400,17.84000,17.81600,Selling,18.44000,18.17000,18.16900,18.16600,18.14600,18.12600,18.10700,18.08700,18.06800,
THB,Buying,0.82470,0.93810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01470,0.97810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.41000,36.03000,36.01500,35.98600,35.94600,35.92400,35.88800,35.85200,35.79400,Selling,36.75000,36.43000,36.42300,36.41000,36.37400,36.36200,36.34000,36.31900,36.29700,
KRW,Buying,0.02151,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02541,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.78000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.30500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.64300,4.71500,4.71490,4.71460,4.71660,4.71800,4.71990,4.72240,4.72390,Selling,4.80500,4.76500,4.76560,4.76690,4.76830,4.76960,4.77230,4.77510,4.77790,
