Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.28500,31.63500,31.61500,31.56100,31.48800,31.42200,31.35200,31.28800,31.21800,Selling,31.95500,31.73500,31.71900,31.67000,31.60400,31.54400,31.48100,31.42400,31.36100,
HKD,Buying,3.88300,4.00900,4.00700,4.00300,3.99800,3.99500,3.98900,3.98400,3.97900,Selling,4.08700,4.06900,4.06800,4.06700,4.06400,4.06000,4.05600,4.05200,4.04900,
GBP,Buying,41.00000,42.01000,41.97500,41.90400,41.81900,41.73800,41.65400,41.57000,41.48600,Selling,43.12000,42.41000,42.39300,42.35800,42.27900,42.20200,42.12900,42.05500,41.98200,
AUD,Buying,22.09000,22.38000,22.35700,22.31000,22.25100,22.19500,22.13900,22.08300,22.02900,Selling,22.87000,22.58000,22.56800,22.54500,22.49000,22.43600,22.38500,22.33600,22.28700,
CAD,Buying,22.00000,22.40000,22.39100,22.37400,22.36000,22.34800,22.33500,22.32200,22.30900,Selling,22.91000,22.60000,22.60100,22.60300,22.59300,22.58300,22.57600,22.57000,22.56300,
SGD,Buying,24.25000,24.74000,24.73400,24.72300,24.72300,24.72800,24.73100,24.73400,24.73700,Selling,25.16000,24.92000,24.92800,24.94400,24.94900,24.95500,24.96400,24.97300,24.98300,
CHF,Buying,37.74000,38.42000,38.43000,38.45000,38.50300,38.56200,38.62000,38.67900,38.73900,Selling,38.94000,38.67000,38.69800,38.75400,38.81600,38.87700,38.94700,39.01800,39.09000,
JPY,Buying,0.19170,0.19900,0.19900,0.19900,0.19910,0.19920,0.19930,0.19930,0.19930,Selling,0.20450,0.20300,0.20310,0.20320,0.20330,0.20340,0.20360,0.20370,0.20380,
ZAR,Buying,0.00000,1.91400,1.91100,1.90500,1.89600,1.88800,1.88000,1.87200,1.86400,Selling,0.00000,1.99400,1.99200,1.98800,1.98000,1.97200,1.96400,1.95700,1.94900,
SEK,Buying,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.61000,17.99000,17.97800,17.95300,17.92900,17.90700,17.88400,17.86000,17.83600,Selling,18.46000,18.19000,18.18900,18.18600,18.16600,18.14600,18.12700,18.10700,18.08800,
THB,Buying,0.82580,0.93920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01580,0.97920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.43970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.39000,36.01000,35.99500,35.96600,35.92600,35.90400,35.86800,35.83200,35.77400,Selling,36.73000,36.41000,36.40300,36.39000,36.35400,36.34200,36.32000,36.29900,36.27700,
KRW,Buying,0.02157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.74800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.27300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.62700,4.69900,4.69890,4.69860,4.70060,4.70200,4.70390,4.70640,4.70790,Selling,4.78900,4.74900,4.74960,4.75090,4.75230,4.75360,4.75630,4.75910,4.76190,
