Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.43500,31.78500,31.76500,31.71100,31.63800,31.57200,31.50200,31.43800,31.36800,Selling,32.10500,31.88500,31.86900,31.82000,31.75400,31.69400,31.63100,31.57400,31.51100,
HKD,Buying,3.90300,4.02900,4.02700,4.02300,4.01800,4.01500,4.00900,4.00400,3.99900,Selling,4.10700,4.08900,4.08800,4.08700,4.08400,4.08000,4.07600,4.07200,4.06900,
GBP,Buying,40.96000,41.97000,41.93500,41.86400,41.77900,41.69800,41.61400,41.53000,41.44600,Selling,43.08000,42.37000,42.35300,42.31800,42.23900,42.16200,42.08900,42.01500,41.94200,
AUD,Buying,22.00000,22.29000,22.26700,22.22000,22.16100,22.10500,22.04900,21.99300,21.93900,Selling,22.78000,22.49000,22.47800,22.45500,22.40000,22.34600,22.29500,22.24600,22.19700,
CAD,Buying,22.08000,22.48000,22.47100,22.45400,22.44000,22.42800,22.41500,22.40200,22.38900,Selling,22.99000,22.68000,22.68100,22.68300,22.67300,22.66300,22.65600,22.65000,22.64300,
SGD,Buying,24.30000,24.79000,24.78400,24.77300,24.77300,24.77800,24.78100,24.78400,24.78700,Selling,25.21000,24.97000,24.97800,24.99400,24.99900,25.00500,25.01400,25.02300,25.03300,
CHF,Buying,37.81000,38.49000,38.50000,38.52000,38.57300,38.63200,38.69000,38.74900,38.80900,Selling,39.01000,38.74000,38.76800,38.82400,38.88600,38.94700,39.01700,39.08800,39.16000,
JPY,Buying,0.19240,0.19970,0.19970,0.19970,0.19980,0.19990,0.20000,0.20000,0.20000,Selling,0.20520,0.20370,0.20380,0.20390,0.20400,0.20410,0.20430,0.20440,0.20450,
ZAR,Buying,0.00000,1.90500,1.90200,1.89600,1.88700,1.87900,1.87100,1.86300,1.85500,Selling,0.00000,1.98500,1.98300,1.97900,1.97100,1.96300,1.95500,1.94800,1.94000,
SEK,Buying,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.59000,17.97000,17.95800,17.93300,17.90900,17.88700,17.86400,17.84000,17.81600,Selling,18.44000,18.17000,18.16900,18.16600,18.14600,18.12600,18.10700,18.08700,18.06800,
THB,Buying,0.82470,0.93810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01470,0.97810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.43000,36.05000,36.03500,36.00600,35.96600,35.94400,35.90800,35.87200,35.81400,Selling,36.77000,36.45000,36.44300,36.43000,36.39400,36.38200,36.36000,36.33900,36.31700,
KRW,Buying,0.02147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.77300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.29800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.64300,4.71500,4.71490,4.71460,4.71660,4.71800,4.71990,4.72240,4.72390,Selling,4.80500,4.76500,4.76560,4.76690,4.76830,4.76960,4.77230,4.77510,4.77790,
