Date,Currency,Cash,Cash.1,Spot,Spot.1
2026-04-01 19:41:00,USD,31.5600,32.2300,31.8850,32.0350
2026-04-01 19:41:00,HKD,3.9220,4.1260,4.0430,4.1130
2026-04-01 19:41:00,GBP,41.3500,43.4700,42.2450,42.8750
2026-04-01 19:41:00,AUD,21.8100,22.5900,22.0250,22.3700
2026-04-01 19:41:00,CAD,22.5200,23.4300,22.8500,23.1800
2026-04-01 19:41:00,SGD,24.3400,25.2500,24.8100,25.0300
2026-04-01 19:41:00,CHF,39.5200,40.7200,40.1300,40.5200
2026-04-01 19:41:00,JPY,0.1924,0.2052,0.1992,0.2042
2026-04-01 19:41:00,ZAR,,,1.8590,1.9490
2026-04-01 19:41:00,SEK,,,3.3500,3.4700
2026-04-01 19:41:00,NZD,17.9800,18.8300,18.3100,18.6100
2026-04-01 19:41:00,THB,0.8545,1.0445,0.9649,1.0109
2026-04-01 19:41:00,PHP,0.4652,0.5972,,
2026-04-01 19:41:00,IDR,0.0015,0.0022,,
2026-04-01 19:41:00,EUR,36.2500,37.5900,36.7650,37.3650
2026-04-01 19:41:00,KRW,0.0195,0.0234,,
2026-04-01 19:41:00,VND,0.0010,0.0014,,
2026-04-01 19:41:00,MYR,6.9150,8.4400,,
2026-04-01 19:41:00,CNY,4.5530,4.7150,4.6200,4.6800
