Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.30000,31.62500,31.63000,31.57600,31.50300,31.43700,31.36700,31.30300,31.23300,Selling,31.97000,31.77500,31.73400,31.68500,31.61900,31.55900,31.49600,31.43900,31.37600,
HKD,Buying,3.88600,4.00700,4.00900,4.00500,4.00000,3.99700,3.99100,3.98600,3.98100,Selling,4.09000,4.07700,4.07000,4.06900,4.06600,4.06200,4.05800,4.05400,4.05100,
GBP,Buying,40.83000,41.72500,41.94500,41.87400,41.78900,41.70800,41.62400,41.54000,41.45600,Selling,42.95000,42.35500,42.36300,42.32800,42.24900,42.17200,42.09900,42.02500,41.95200,
AUD,Buying,21.92000,22.13500,22.32700,22.28000,22.22100,22.16500,22.10900,22.05300,21.99900,Selling,22.70000,22.48000,22.53800,22.51500,22.46000,22.40600,22.35500,22.30600,22.25700,
CAD,Buying,22.00000,22.33000,22.39100,22.37400,22.36000,22.34800,22.33500,22.32200,22.30900,Selling,22.91000,22.66000,22.60100,22.60300,22.59300,22.58300,22.57600,22.57000,22.56300,
SGD,Buying,24.19000,24.66000,24.72400,24.71300,24.71300,24.71800,24.72100,24.72400,24.72700,Selling,25.10000,24.88000,24.91800,24.93400,24.93900,24.94500,24.95400,24.96300,24.97300,
CHF,Buying,37.61000,38.22000,38.42000,38.44000,38.49300,38.55200,38.61000,38.66900,38.72900,Selling,38.81000,38.61000,38.68800,38.74400,38.80600,38.86700,38.93700,39.00800,39.08000,
JPY,Buying,0.19100,0.19780,0.19900,0.19900,0.19910,0.19920,0.19930,0.19930,0.19930,Selling,0.20380,0.20280,0.20310,0.20320,0.20330,0.20340,0.20360,0.20370,0.20380,
ZAR,Buying,0.00000,1.88800,1.90800,1.90200,1.89300,1.88500,1.87700,1.86900,1.86100,Selling,0.00000,1.97800,1.98900,1.98500,1.97700,1.96900,1.96100,1.95400,1.94600,
SEK,Buying,0.00000,3.14000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.26000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.51000,17.84000,17.95800,17.93300,17.90900,17.88700,17.86400,17.84000,17.81600,Selling,18.36000,18.14000,18.16900,18.16600,18.14600,18.12600,18.10700,18.08700,18.06800,
THB,Buying,0.81980,0.93020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.00980,0.97620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.43990,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00208,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.30000,35.81500,35.98500,35.95600,35.91600,35.89400,35.85800,35.82200,35.76400,Selling,36.64000,36.41500,36.39300,36.38000,36.34400,36.33200,36.31000,36.28900,36.26700,
KRW,Buying,0.02146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02536,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.74600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.27100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.62700,4.69400,4.69990,4.69960,4.70160,4.70300,4.70490,4.70740,4.70890,Selling,4.78900,4.75400,4.75060,4.75190,4.75330,4.75460,4.75730,4.76010,4.76290,
