Date,Currency,Cash,Cash.1,Spot,Spot.1
2026-03-07 05:51:00,USD,31.2800,31.9500,31.6050,31.7550
2026-03-07 05:51:00,HKD,3.8940,4.0980,4.0150,4.0850
2026-03-07 05:51:00,GBP,41.2600,43.3800,42.1550,42.7850
2026-03-07 05:51:00,AUD,21.8700,22.6500,22.0850,22.4300
2026-03-07 05:51:00,CAD,22.8600,23.7700,23.1900,23.5200
2026-03-07 05:51:00,SGD,24.1800,25.0900,24.6500,24.8700
2026-03-07 05:51:00,CHF,40.0000,41.2000,40.6100,41.0000
2026-03-07 05:51:00,JPY,0.1915,0.2043,0.1983,0.2033
2026-03-07 05:51:00,ZAR,,,1.8720,1.9620
2026-03-07 05:51:00,SEK,,,3.4000,3.5200
2026-03-07 05:51:00,NZD,18.2200,19.0700,18.5500,18.8500
2026-03-07 05:51:00,THB,0.8682,1.0582,0.9786,1.0246
2026-03-07 05:51:00,PHP,0.4704,0.6024,,
2026-03-07 05:51:00,IDR,0.0015,0.0022,,
2026-03-07 05:51:00,EUR,35.9900,37.3300,36.5050,37.1050
2026-03-07 05:51:00,KRW,0.0196,0.0235,,
2026-03-07 05:51:00,VND,0.0010,0.0014,,
2026-03-07 05:51:00,MYR,7.0030,8.5280,,
2026-03-07 05:51:00,CNY,4.4920,4.6540,4.5590,4.6190
