Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.32000,31.67000,31.65200,31.60100,31.53100,31.46300,31.38800,31.32200,31.25900,Selling,31.99000,31.77000,31.75600,31.70900,31.64600,31.58500,31.51700,31.45800,31.40100,
HKD,Buying,3.88700,4.01300,4.01100,4.00700,4.00200,3.99900,3.99300,3.98800,3.98300,Selling,4.09100,4.07300,4.07200,4.07100,4.06800,4.06400,4.06000,4.05600,4.05300,
GBP,Buying,41.25000,42.26000,42.22500,42.15400,42.06900,41.98800,41.90400,41.82000,41.73600,Selling,43.37000,42.66000,42.64300,42.60800,42.52900,42.45200,42.37900,42.30500,42.23200,
AUD,Buying,22.20000,22.49000,22.46700,22.42000,22.36100,22.30500,22.24900,22.19300,22.13900,Selling,22.98000,22.69000,22.67800,22.65500,22.60000,22.54600,22.49500,22.44600,22.39700,
CAD,Buying,22.12000,22.52000,22.51100,22.49400,22.48000,22.46800,22.45500,22.44200,22.42900,Selling,23.03000,22.72000,22.72100,22.72300,22.71300,22.70300,22.69600,22.69000,22.68300,
SGD,Buying,24.29000,24.78000,24.77400,24.76300,24.76300,24.76800,24.77100,24.77400,24.77700,Selling,25.20000,24.96000,24.96800,24.98400,24.98900,24.99500,25.00400,25.01300,25.02300,
CHF,Buying,37.84000,38.52000,38.53000,38.55000,38.60300,38.66200,38.72000,38.77900,38.83900,Selling,39.04000,38.77000,38.79800,38.85400,38.91600,38.97700,39.04700,39.11800,39.19000,
JPY,Buying,0.19220,0.19950,0.19950,0.19950,0.19960,0.19970,0.19980,0.19980,0.19980,Selling,0.20500,0.20350,0.20360,0.20370,0.20380,0.20390,0.20410,0.20420,0.20430,
ZAR,Buying,0.00000,1.91200,1.90900,1.90300,1.89400,1.88600,1.87800,1.87000,1.86200,Selling,0.00000,1.99200,1.99000,1.98600,1.97800,1.97000,1.96200,1.95500,1.94700,
SEK,Buying,0.00000,3.18000,3.17900,3.17700,3.17600,3.17500,3.17400,3.17300,3.17200,Selling,0.00000,3.28000,3.28100,3.28200,3.28100,3.28100,3.28000,3.28000,3.28000,
NZD,Buying,17.72000,18.10000,18.08800,18.06300,18.03900,18.01700,17.99400,17.97000,17.94600,Selling,18.57000,18.30000,18.29900,18.29600,18.27600,18.25600,18.23700,18.21700,18.19800,
THB,Buying,0.82540,0.93880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01540,0.97880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.58000,36.20000,36.18600,36.15900,36.12700,36.09800,36.06200,36.02600,35.96900,Selling,36.92000,36.60000,36.59400,36.58200,36.55500,36.53600,36.51500,36.49400,36.47200,
KRW,Buying,0.02161,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02551,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.75800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.28300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.64000,4.71200,4.71180,4.71130,4.71330,4.71520,4.71680,4.71890,4.72000,Selling,4.80200,4.76200,4.76280,4.76430,4.76590,4.76720,4.76980,4.77250,4.77510,
