Date,Currency,Cash,Cash.1,Spot,Spot.1
2026-05-22 00:43:00,USD,31.1950,31.8650,31.5200,31.6700
2026-05-22 00:43:00,HKD,3.8780,4.0820,3.9990,4.0690
2026-05-22 00:43:00,GBP,41.1900,43.3100,42.0850,42.7150
2026-05-22 00:43:00,AUD,22.1500,22.9300,22.3650,22.7100
2026-05-22 00:43:00,CAD,22.4300,23.3400,22.7600,23.0900
2026-05-22 00:43:00,SGD,24.1100,25.0200,24.5800,24.8000
2026-05-22 00:43:00,CHF,39.2700,40.4700,39.8800,40.2700
2026-05-22 00:43:00,JPY,0.1894,0.2022,0.1962,0.2012
2026-05-22 00:43:00,ZAR,,,1.8610,1.9510
2026-05-22 00:43:00,SEK,,,3.3200,3.4400
2026-05-22 00:43:00,NZD,18.0300,18.8800,18.3600,18.6600
2026-05-22 00:43:00,THB,0.8386,1.0286,0.9490,0.9950
2026-05-22 00:43:00,PHP,0.4472,0.5792,,
2026-05-22 00:43:00,IDR,0.0014,0.0021,,
2026-05-22 00:43:00,EUR,35.8500,37.1900,36.3650,36.9650
2026-05-22 00:43:00,KRW,0.0192,0.0231,,
2026-05-22 00:43:00,VND,0.0009,0.0014,,
2026-05-22 00:43:00,MYR,6.9510,8.4760,,
2026-05-22 00:43:00,CNY,4.5470,4.7090,4.6140,4.6740
