Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.28000,31.63000,31.61400,31.56600,31.50300,31.44200,31.38100,31.31800,31.25700,Selling,31.95000,31.73000,31.71800,31.67400,31.61800,31.56500,31.51200,31.45600,31.40400,
HKD,Buying,3.88300,4.00900,4.00700,4.00300,3.99800,3.99500,3.98900,3.98400,3.97900,Selling,4.08700,4.06900,4.06800,4.06700,4.06400,4.06000,4.05600,4.05200,4.04900,
GBP,Buying,41.04000,42.05000,42.01500,41.94400,41.85900,41.77800,41.69400,41.61000,41.52600,Selling,43.16000,42.45000,42.43300,42.39800,42.31900,42.24200,42.16900,42.09500,42.02200,
AUD,Buying,22.14000,22.43000,22.40700,22.36000,22.30100,22.24500,22.18900,22.13300,22.07900,Selling,22.92000,22.63000,22.61800,22.59500,22.54000,22.48600,22.43500,22.38600,22.33700,
CAD,Buying,22.02000,22.42000,22.41100,22.39400,22.38000,22.36800,22.35500,22.34200,22.32900,Selling,22.93000,22.62000,22.62100,22.62300,22.61300,22.60300,22.59600,22.59000,22.58300,
SGD,Buying,24.27000,24.76000,24.75400,24.74300,24.74300,24.74800,24.75100,24.75400,24.75700,Selling,25.18000,24.94000,24.94800,24.96400,24.96900,24.97500,24.98400,24.99300,25.00300,
CHF,Buying,37.77000,38.45000,38.46000,38.48000,38.53300,38.59200,38.65000,38.70900,38.76900,Selling,38.97000,38.70000,38.72800,38.78400,38.84600,38.90700,38.97700,39.04800,39.12000,
JPY,Buying,0.19180,0.19910,0.19910,0.19910,0.19920,0.19930,0.19940,0.19940,0.19940,Selling,0.20460,0.20310,0.20320,0.20330,0.20340,0.20350,0.20370,0.20380,0.20390,
ZAR,Buying,0.00000,1.91700,1.91400,1.90800,1.89900,1.89100,1.88300,1.87500,1.86700,Selling,0.00000,1.99700,1.99500,1.99100,1.98300,1.97500,1.96700,1.96000,1.95200,
SEK,Buying,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.62000,18.00000,17.98800,17.96300,17.93900,17.91700,17.89400,17.87000,17.84600,Selling,18.47000,18.20000,18.19900,18.19600,18.17600,18.15600,18.13700,18.11700,18.09800,
THB,Buying,0.82690,0.94030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01690,0.98030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.43000,36.05000,36.03400,36.00200,35.97100,35.94500,35.90900,35.87400,35.81700,Selling,36.77000,36.45000,36.44400,36.43100,36.40500,36.38600,36.36500,36.34400,36.32200,
KRW,Buying,0.02175,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02565,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.76200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.28700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.63100,4.70300,4.70280,4.70230,4.70470,4.70640,4.70800,4.71010,4.71130,Selling,4.79300,4.75300,4.75390,4.75560,4.75650,4.75880,4.76140,4.76390,4.76650,
