Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.41000,31.76000,31.74000,31.68600,31.61300,31.54700,31.47700,31.41300,31.34300,Selling,32.08000,31.86000,31.84400,31.79500,31.72900,31.66900,31.60600,31.54900,31.48600,
HKD,Buying,3.90000,4.02600,4.02400,4.02000,4.01500,4.01200,4.00600,4.00100,3.99600,Selling,4.10400,4.08600,4.08500,4.08400,4.08100,4.07700,4.07300,4.06900,4.06600,
GBP,Buying,40.92000,41.93000,41.89500,41.82400,41.73900,41.65800,41.57400,41.49000,41.40600,Selling,43.04000,42.33000,42.31300,42.27800,42.19900,42.12200,42.04900,41.97500,41.90200,
AUD,Buying,21.97000,22.26000,22.23700,22.19000,22.13100,22.07500,22.01900,21.96300,21.90900,Selling,22.75000,22.46000,22.44800,22.42500,22.37000,22.31600,22.26500,22.21600,22.16700,
CAD,Buying,22.06000,22.46000,22.45100,22.43400,22.42000,22.40800,22.39500,22.38200,22.36900,Selling,22.97000,22.66000,22.66100,22.66300,22.65300,22.64300,22.63600,22.63000,22.62300,
SGD,Buying,24.27000,24.76000,24.75400,24.74300,24.74300,24.74800,24.75100,24.75400,24.75700,Selling,25.18000,24.94000,24.94800,24.96400,24.96900,24.97500,24.98400,24.99300,25.00300,
CHF,Buying,37.75000,38.43000,38.44000,38.46000,38.51300,38.57200,38.63000,38.68900,38.74900,Selling,38.95000,38.68000,38.70800,38.76400,38.82600,38.88700,38.95700,39.02800,39.10000,
JPY,Buying,0.19210,0.19940,0.19940,0.19940,0.19950,0.19960,0.19970,0.19970,0.19970,Selling,0.20490,0.20340,0.20350,0.20360,0.20370,0.20380,0.20400,0.20410,0.20420,
ZAR,Buying,0.00000,1.90100,1.89800,1.89200,1.88300,1.87500,1.86700,1.85900,1.85100,Selling,0.00000,1.98100,1.97900,1.97500,1.96700,1.95900,1.95100,1.94400,1.93600,
SEK,Buying,0.00000,3.16000,3.15900,3.15700,3.15600,3.15500,3.15400,3.15300,3.15200,Selling,0.00000,3.26000,3.26100,3.26200,3.26100,3.26100,3.26000,3.26000,3.26000,
NZD,Buying,17.60000,17.98000,17.96800,17.94300,17.91900,17.89700,17.87400,17.85000,17.82600,Selling,18.45000,18.18000,18.17900,18.17600,18.15600,18.13600,18.11700,18.09700,18.07800,
THB,Buying,0.82220,0.93560,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01220,0.97560,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.39000,36.01000,35.99500,35.96600,35.92600,35.90400,35.86800,35.83200,35.77400,Selling,36.73000,36.41000,36.40300,36.39000,36.35400,36.34200,36.32000,36.29900,36.27700,
KRW,Buying,0.02149,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02539,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.75100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.27600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.63800,4.71000,4.70990,4.70960,4.71160,4.71300,4.71490,4.71740,4.71890,Selling,4.80000,4.76000,4.76060,4.76190,4.76330,4.76460,4.76730,4.77010,4.77290,
