Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.31000,31.66000,31.64200,31.59100,31.52100,31.45300,31.37800,31.31200,31.24900,Selling,31.98000,31.76000,31.74600,31.69900,31.63600,31.57500,31.50700,31.44800,31.39100,
HKD,Buying,3.88600,4.01200,4.01000,4.00600,4.00100,3.99800,3.99200,3.98700,3.98200,Selling,4.09000,4.07200,4.07100,4.07000,4.06700,4.06300,4.05900,4.05500,4.05200,
GBP,Buying,41.21000,42.22000,42.18500,42.11400,42.02900,41.94800,41.86400,41.78000,41.69600,Selling,43.33000,42.62000,42.60300,42.56800,42.48900,42.41200,42.33900,42.26500,42.19200,
AUD,Buying,22.17000,22.46000,22.43700,22.39000,22.33100,22.27500,22.21900,22.16300,22.10900,Selling,22.95000,22.66000,22.64800,22.62500,22.57000,22.51600,22.46500,22.41600,22.36700,
CAD,Buying,22.10000,22.50000,22.49100,22.47400,22.46000,22.44800,22.43500,22.42200,22.40900,Selling,23.01000,22.70000,22.70100,22.70300,22.69300,22.68300,22.67600,22.67000,22.66300,
SGD,Buying,24.27000,24.76000,24.75400,24.74300,24.74300,24.74800,24.75100,24.75400,24.75700,Selling,25.18000,24.94000,24.94800,24.96400,24.96900,24.97500,24.98400,24.99300,25.00300,
CHF,Buying,37.83000,38.51000,38.52000,38.54000,38.59300,38.65200,38.71000,38.76900,38.82900,Selling,39.03000,38.76000,38.78800,38.84400,38.90600,38.96700,39.03700,39.10800,39.18000,
JPY,Buying,0.19220,0.19950,0.19950,0.19950,0.19960,0.19970,0.19980,0.19980,0.19980,Selling,0.20500,0.20350,0.20360,0.20370,0.20380,0.20390,0.20410,0.20420,0.20430,
ZAR,Buying,0.00000,1.91100,1.90800,1.90200,1.89300,1.88500,1.87700,1.86900,1.86100,Selling,0.00000,1.99100,1.98900,1.98500,1.97700,1.96900,1.96100,1.95400,1.94600,
SEK,Buying,0.00000,3.18000,3.17900,3.17700,3.17600,3.17500,3.17400,3.17300,3.17200,Selling,0.00000,3.28000,3.28100,3.28200,3.28100,3.28100,3.28000,3.28000,3.28000,
NZD,Buying,17.66000,18.04000,18.02800,18.00300,17.97900,17.95700,17.93400,17.91000,17.88600,Selling,18.51000,18.24000,18.23900,18.23600,18.21600,18.19600,18.17700,18.15700,18.13800,
THB,Buying,0.82510,0.93850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01510,0.97850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.55000,36.17000,36.15600,36.12900,36.09700,36.06800,36.03200,35.99600,35.93900,Selling,36.89000,36.57000,36.56400,36.55200,36.52500,36.50600,36.48500,36.46400,36.44200,
KRW,Buying,0.02156,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02546,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.75300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.27800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.63900,4.71100,4.71080,4.71030,4.71230,4.71420,4.71580,4.71790,4.71900,Selling,4.80100,4.76100,4.76180,4.76330,4.76490,4.76620,4.76880,4.77150,4.77410,
