Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.30000,31.65000,31.63200,31.58100,31.51100,31.44300,31.36800,31.30200,31.23900,Selling,31.97000,31.75000,31.73600,31.68900,31.62600,31.56500,31.49700,31.43800,31.38100,
HKD,Buying,3.88400,4.01000,4.00800,4.00400,3.99900,3.99600,3.99000,3.98500,3.98000,Selling,4.08800,4.07000,4.06900,4.06800,4.06500,4.06100,4.05700,4.05300,4.05000,
GBP,Buying,41.17000,42.18000,42.14500,42.07400,41.98900,41.90800,41.82400,41.74000,41.65600,Selling,43.29000,42.58000,42.56300,42.52800,42.44900,42.37200,42.29900,42.22500,42.15200,
AUD,Buying,22.12000,22.41000,22.38700,22.34000,22.28100,22.22500,22.16900,22.11300,22.05900,Selling,22.90000,22.61000,22.59800,22.57500,22.52000,22.46600,22.41500,22.36600,22.31700,
CAD,Buying,22.08000,22.48000,22.47100,22.45400,22.44000,22.42800,22.41500,22.40200,22.38900,Selling,22.99000,22.68000,22.68100,22.68300,22.67300,22.66300,22.65600,22.65000,22.64300,
SGD,Buying,24.27000,24.76000,24.75400,24.74300,24.74300,24.74800,24.75100,24.75400,24.75700,Selling,25.18000,24.94000,24.94800,24.96400,24.96900,24.97500,24.98400,24.99300,25.00300,
CHF,Buying,37.79000,38.47000,38.48000,38.50000,38.55300,38.61200,38.67000,38.72900,38.78900,Selling,38.99000,38.72000,38.74800,38.80400,38.86600,38.92700,38.99700,39.06800,39.14000,
JPY,Buying,0.19200,0.19930,0.19930,0.19930,0.19940,0.19950,0.19960,0.19960,0.19960,Selling,0.20480,0.20330,0.20340,0.20350,0.20360,0.20370,0.20390,0.20400,0.20410,
ZAR,Buying,0.00000,1.90900,1.90600,1.90000,1.89100,1.88300,1.87500,1.86700,1.85900,Selling,0.00000,1.98900,1.98700,1.98300,1.97500,1.96700,1.95900,1.95200,1.94400,
SEK,Buying,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.59000,17.97000,17.95800,17.93300,17.90900,17.88700,17.86400,17.84000,17.81600,Selling,18.44000,18.17000,18.16900,18.16600,18.14600,18.12600,18.10700,18.08700,18.06800,
THB,Buying,0.82480,0.93820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01480,0.97820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.43940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.52000,36.14000,36.12600,36.09900,36.06700,36.03800,36.00200,35.96600,35.90900,Selling,36.86000,36.54000,36.53400,36.52200,36.49500,36.47600,36.45500,36.43400,36.41200,
KRW,Buying,0.02157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.75000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.27500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.63800,4.71000,4.70980,4.70930,4.71130,4.71320,4.71480,4.71690,4.71800,Selling,4.80000,4.76000,4.76080,4.76230,4.76390,4.76520,4.76780,4.77050,4.77310,
