Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.38000,31.70500,31.70900,31.65000,31.57700,31.50300,31.43300,31.36500,31.28700,Selling,32.05000,31.85500,31.81300,31.76000,31.69500,31.62900,31.56600,31.50700,31.43700,
HKD,Buying,3.89700,4.01800,4.02000,4.01600,4.01100,4.00800,4.00200,3.99700,3.99200,Selling,4.10100,4.08800,4.08100,4.08000,4.07700,4.07300,4.06900,4.06500,4.06200,
GBP,Buying,40.86000,41.75500,41.88500,41.81400,41.72900,41.64800,41.56400,41.48000,41.39600,Selling,42.98000,42.38500,42.30300,42.26800,42.18900,42.11200,42.03900,41.96500,41.89200,
AUD,Buying,21.94000,22.15500,22.24700,22.20000,22.14100,22.08500,22.02900,21.97300,21.91900,Selling,22.72000,22.50000,22.45800,22.43500,22.38000,22.32600,22.27500,22.22600,22.17700,
CAD,Buying,21.97000,22.30000,22.43100,22.41400,22.40000,22.38800,22.37500,22.36200,22.34900,Selling,22.88000,22.63000,22.64100,22.64300,22.63300,22.62300,22.61600,22.61000,22.60300,
SGD,Buying,24.29000,24.76000,24.75400,24.74300,24.74300,24.74800,24.75100,24.75400,24.75700,Selling,25.20000,24.98000,24.94800,24.96400,24.96900,24.97500,24.98400,24.99300,25.00300,
CHF,Buying,37.51000,38.12000,38.30000,38.32000,38.37300,38.43200,38.49000,38.54900,38.60900,Selling,38.71000,38.51000,38.56800,38.62400,38.68600,38.74700,38.81700,38.88800,38.96000,
JPY,Buying,0.19190,0.19870,0.19890,0.19890,0.19900,0.19910,0.19920,0.19920,0.19920,Selling,0.20470,0.20370,0.20300,0.20310,0.20320,0.20330,0.20350,0.20360,0.20370,
ZAR,Buying,0.00000,1.89500,1.89800,1.89200,1.88300,1.87500,1.86700,1.85900,1.85100,Selling,0.00000,1.98500,1.97900,1.97500,1.96700,1.95900,1.95100,1.94400,1.93600,
SEK,Buying,0.00000,3.15000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.53000,17.86000,17.94800,17.92300,17.89900,17.87700,17.85400,17.83000,17.80600,Selling,18.38000,18.16000,18.15900,18.15600,18.13600,18.11600,18.09700,18.07700,18.05800,
THB,Buying,0.82300,0.93340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01300,0.97940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00208,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.38000,35.89500,36.00200,35.96500,35.92700,35.88700,35.84300,35.79900,35.72900,Selling,36.72000,36.49500,36.40900,36.38700,36.35700,36.33000,36.30200,36.27500,36.24600,
KRW,Buying,0.02166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.77200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.29700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.63500,4.70200,4.70710,4.70540,4.70680,4.70730,4.70760,4.70780,4.70810,Selling,4.79700,4.76200,4.75790,4.75760,4.75890,4.75920,4.76110,4.76300,4.76490,
