Date,Currency,Cash,Cash.1,Spot,Spot.1
2026-04-21 15:57:00,USD,31.0850,31.7550,31.4350,31.5350
2026-04-21 15:57:00,HKD,3.8650,4.0690,3.9910,4.0510
2026-04-21 15:57:00,GBP,41.3400,43.4600,42.3500,42.7500
2026-04-21 15:57:00,AUD,22.1400,22.9200,22.4300,22.6300
2026-04-21 15:57:00,CAD,22.5700,23.4800,22.9700,23.1700
2026-04-21 15:57:00,SGD,24.1800,25.0900,24.6700,24.8500
2026-04-21 15:57:00,CHF,39.5900,40.7900,40.2700,40.5200
2026-04-21 15:57:00,JPY,0.1888,0.2016,0.1961,0.2001
2026-04-21 15:57:00,ZAR,,,1.8830,1.9630
2026-04-21 15:57:00,SEK,,,3.4000,3.5000
2026-04-21 15:57:00,NZD,18.1300,18.9800,18.5100,18.7100
2026-04-21 15:57:00,THB,0.8527,1.0427,0.9661,1.0061
2026-04-21 15:57:00,PHP,0.4593,0.5913,,
2026-04-21 15:57:00,IDR,0.0015,0.0022,,
2026-04-21 15:57:00,EUR,36.2300,37.5700,36.8500,37.2500
2026-04-21 15:57:00,KRW,0.0197,0.0236,,
2026-04-21 15:57:00,VND,0.0010,0.0014,,
2026-04-21 15:57:00,MYR,6.9350,8.4600,,
2026-04-21 15:57:00,CNY,4.5220,4.6840,4.5940,4.6440
