Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.27500,31.62500,31.60900,31.56100,31.49800,31.43700,31.37600,31.31300,31.25200,Selling,31.94500,31.72500,31.71300,31.66900,31.61300,31.56000,31.50700,31.45100,31.39900,
HKD,Buying,3.88200,4.00800,4.00600,4.00200,3.99700,3.99400,3.98800,3.98300,3.97800,Selling,4.08600,4.06800,4.06700,4.06600,4.06300,4.05900,4.05500,4.05100,4.04800,
GBP,Buying,41.01000,42.02000,41.98500,41.91400,41.82900,41.74800,41.66400,41.58000,41.49600,Selling,43.13000,42.42000,42.40300,42.36800,42.28900,42.21200,42.13900,42.06500,41.99200,
AUD,Buying,22.11000,22.40000,22.37700,22.33000,22.27100,22.21500,22.15900,22.10300,22.04900,Selling,22.89000,22.60000,22.58800,22.56500,22.51000,22.45600,22.40500,22.35600,22.30700,
CAD,Buying,22.00000,22.40000,22.39100,22.37400,22.36000,22.34800,22.33500,22.32200,22.30900,Selling,22.91000,22.60000,22.60100,22.60300,22.59300,22.58300,22.57600,22.57000,22.56300,
SGD,Buying,24.25000,24.74000,24.73400,24.72300,24.72300,24.72800,24.73100,24.73400,24.73700,Selling,25.16000,24.92000,24.92800,24.94400,24.94900,24.95500,24.96400,24.97300,24.98300,
CHF,Buying,37.74000,38.42000,38.43000,38.45000,38.50300,38.56200,38.62000,38.67900,38.73900,Selling,38.94000,38.67000,38.69800,38.75400,38.81600,38.87700,38.94700,39.01800,39.09000,
JPY,Buying,0.19170,0.19900,0.19900,0.19900,0.19910,0.19920,0.19930,0.19930,0.19930,Selling,0.20450,0.20300,0.20310,0.20320,0.20330,0.20340,0.20360,0.20370,0.20380,
ZAR,Buying,0.00000,1.91500,1.91200,1.90600,1.89700,1.88900,1.88100,1.87300,1.86500,Selling,0.00000,1.99500,1.99300,1.98900,1.98100,1.97300,1.96500,1.95800,1.95000,
SEK,Buying,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.60000,17.98000,17.96800,17.94300,17.91900,17.89700,17.87400,17.85000,17.82600,Selling,18.45000,18.18000,18.17900,18.17600,18.15600,18.13600,18.11700,18.09700,18.07800,
THB,Buying,0.82560,0.93900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01560,0.97900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.40000,36.02000,36.00400,35.97200,35.94100,35.91500,35.87900,35.84400,35.78700,Selling,36.74000,36.42000,36.41400,36.40100,36.37500,36.35600,36.33500,36.31400,36.29200,
KRW,Buying,0.02170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02560,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.75500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.28000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.62800,4.70000,4.69980,4.69930,4.70170,4.70340,4.70500,4.70710,4.70830,Selling,4.79000,4.75000,4.75090,4.75260,4.75350,4.75580,4.75840,4.76090,4.76350,
