Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.41000,31.76000,31.73900,31.68000,31.60700,31.53300,31.46300,31.39500,31.31700,Selling,32.08000,31.86000,31.84300,31.79000,31.72500,31.65900,31.59600,31.53700,31.46700,
HKD,Buying,3.89900,4.02500,4.02300,4.01900,4.01400,4.01100,4.00500,4.00000,3.99500,Selling,4.10300,4.08500,4.08400,4.08300,4.08000,4.07600,4.07200,4.06800,4.06500,
GBP,Buying,40.95000,41.96000,41.92500,41.85400,41.76900,41.68800,41.60400,41.52000,41.43600,Selling,43.07000,42.36000,42.34300,42.30800,42.22900,42.15200,42.07900,42.00500,41.93200,
AUD,Buying,22.00000,22.29000,22.26700,22.22000,22.16100,22.10500,22.04900,21.99300,21.93900,Selling,22.78000,22.49000,22.47800,22.45500,22.40000,22.34600,22.29500,22.24600,22.19700,
CAD,Buying,22.05000,22.45000,22.44100,22.42400,22.41000,22.39800,22.38500,22.37200,22.35900,Selling,22.96000,22.65000,22.65100,22.65300,22.64300,22.63300,22.62600,22.62000,22.61300,
SGD,Buying,24.30000,24.79000,24.78400,24.77300,24.77300,24.77800,24.78100,24.78400,24.78700,Selling,25.21000,24.97000,24.97800,24.99400,24.99900,25.00500,25.01400,25.02300,25.03300,
CHF,Buying,37.61000,38.29000,38.30000,38.32000,38.37300,38.43200,38.49000,38.54900,38.60900,Selling,38.81000,38.54000,38.56800,38.62400,38.68600,38.74700,38.81700,38.88800,38.96000,
JPY,Buying,0.19190,0.19920,0.19920,0.19920,0.19930,0.19940,0.19950,0.19950,0.19950,Selling,0.20470,0.20320,0.20330,0.20340,0.20350,0.20360,0.20380,0.20390,0.20400,
ZAR,Buying,0.00000,1.90400,1.90100,1.89500,1.88600,1.87800,1.87000,1.86200,1.85400,Selling,0.00000,1.98400,1.98200,1.97800,1.97000,1.96200,1.95400,1.94700,1.93900,
SEK,Buying,0.00000,3.17000,3.16900,3.16700,3.16600,3.16500,3.16400,3.16300,3.16200,Selling,0.00000,3.27000,3.27100,3.27200,3.27100,3.27100,3.27000,3.27000,3.27000,
NZD,Buying,17.59000,17.97000,17.95800,17.93300,17.90900,17.88700,17.86400,17.84000,17.81600,Selling,18.44000,18.17000,18.16900,18.16600,18.14600,18.12600,18.10700,18.08700,18.06800,
THB,Buying,0.82410,0.93750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01410,0.97750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.43000,36.05000,36.03200,35.99500,35.95700,35.91700,35.87300,35.82900,35.75900,Selling,36.77000,36.45000,36.43900,36.41700,36.38700,36.36000,36.33200,36.30500,36.27600,
KRW,Buying,0.02155,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02545,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.78100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.30600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.64100,4.71300,4.71210,4.71040,4.71180,4.71230,4.71260,4.71280,4.71310,Selling,4.80300,4.76300,4.76290,4.76260,4.76390,4.76420,4.76610,4.76800,4.76990,
