Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,31.32000,31.67000,31.65400,31.60600,31.54300,31.48200,31.42100,31.35800,31.29700,Selling,31.99000,31.77000,31.75800,31.71400,31.65800,31.60500,31.55200,31.49600,31.44400,
HKD,Buying,3.88700,4.01300,4.01100,4.00700,4.00200,3.99900,3.99300,3.98800,3.98300,Selling,4.09100,4.07300,4.07200,4.07100,4.06800,4.06400,4.06000,4.05600,4.05300,
GBP,Buying,41.25000,42.26000,42.22500,42.15400,42.06900,41.98800,41.90400,41.82000,41.73600,Selling,43.37000,42.66000,42.64300,42.60800,42.52900,42.45200,42.37900,42.30500,42.23200,
AUD,Buying,22.20000,22.49000,22.46700,22.42000,22.36100,22.30500,22.24900,22.19300,22.13900,Selling,22.98000,22.69000,22.67800,22.65500,22.60000,22.54600,22.49500,22.44600,22.39700,
CAD,Buying,22.12000,22.52000,22.51100,22.49400,22.48000,22.46800,22.45500,22.44200,22.42900,Selling,23.03000,22.72000,22.72100,22.72300,22.71300,22.70300,22.69600,22.69000,22.68300,
SGD,Buying,24.30000,24.79000,24.78400,24.77300,24.77300,24.77800,24.78100,24.78400,24.78700,Selling,25.21000,24.97000,24.97800,24.99400,24.99900,25.00500,25.01400,25.02300,25.03300,
CHF,Buying,37.85000,38.53000,38.54000,38.56000,38.61300,38.67200,38.73000,38.78900,38.84900,Selling,39.05000,38.78000,38.80800,38.86400,38.92600,38.98700,39.05700,39.12800,39.20000,
JPY,Buying,0.19220,0.19950,0.19950,0.19950,0.19960,0.19970,0.19980,0.19980,0.19980,Selling,0.20500,0.20350,0.20360,0.20370,0.20380,0.20390,0.20410,0.20420,0.20430,
ZAR,Buying,0.00000,1.91100,1.90800,1.90200,1.89300,1.88500,1.87700,1.86900,1.86100,Selling,0.00000,1.99100,1.98900,1.98500,1.97700,1.96900,1.96100,1.95400,1.94600,
SEK,Buying,0.00000,3.18000,3.17900,3.17700,3.17600,3.17500,3.17400,3.17300,3.17200,Selling,0.00000,3.28000,3.28100,3.28200,3.28100,3.28100,3.28000,3.28000,3.28000,
NZD,Buying,17.74000,18.12000,18.10800,18.08300,18.05900,18.03700,18.01400,17.99000,17.96600,Selling,18.59000,18.32000,18.31900,18.31600,18.29600,18.27600,18.25700,18.23700,18.21800,
THB,Buying,0.82540,0.93880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.01540,0.97880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.44020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.57220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,35.57000,36.19000,36.17400,36.14200,36.11100,36.08500,36.04900,36.01400,35.95700,Selling,36.91000,36.59000,36.58400,36.57100,36.54500,36.52600,36.50500,36.48400,36.46200,
KRW,Buying,0.02165,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02555,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.75800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,8.28300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.63900,4.71100,4.71080,4.71030,4.71270,4.71440,4.71600,4.71810,4.71930,Selling,4.80100,4.76100,4.76190,4.76360,4.76450,4.76680,4.76940,4.77190,4.77450,
